time,value
2008011519,27.3
2008011520,26.2
2008011521,25.4
2008011522,26.2
2008011523,24.8
2008011600,23.2
2008011601,24.9
2008011602,24.9
2008011603,24.8
2008011604,25.1
2008011605,25.9
2008011606,25.6
2008011607,24.8
2008011608,26.4
2008011609,26.6
2008011610,26.1
2008011611,27.1
2008011612,25.5
2008011613,25.3
2008011614,25.2
2008011615,26.0
2008011616,24.8
2008011617,25.5
2008011618,25.0
2008011619,24.3
2008011620,24.5
2008011621,24.8
2008011622,24.1
2008011623,22.5
2008011700,23.9
2008011701,23.4
2008011702,24.8
2008011703,25.6
2008011704,26.6
2008011705,25.4
2008011706,24.9
2008011707,25.3
2008011708,24.1
2008011709,24.1
2008011710,25.3
2008011711,25.0
2008011712,24.8
2008011713,24.5
2008011714,27.2
2008011715,25.2
2008011716,24.6
2008011717,25.5
2008011718,25.7
2008011719,25.0
2008011720,25.4
2008011721,25.7
2008011722,26.0
2008011723,24.6
2008011800,25.2
2008011801,24.7
2008011802,26.2
2008011803,25.0
2008011804,26.6
2008011805,24.7
2008011806,25.1
2008011807,24.4
2008011808,26.0
2008011809,27.5
2008011810,26.5
2008011811,26.0
2008011812,26.1
2008011813,27.2
2008011814,27.7
2008011815,27.3
2008011816,25.3
2008011817,24.7
2008011818,25.7
2008011819,25.7
2008011820,24.1
2008011821,24.4
2008011822,25.5
2008011823,25.3
2008011900,24.5
2008011901,25.3
2008011902,24.7
2008011903,25.2
2008011904,25.2
2008011905,24.3
2008011906,26.1
2008011907,25.0
2008011908,26.6
2008011909,25.2
2008011910,26.6
2008011911,26.0
2008011912,26.2
2008011913,24.3
2008011914,25.8
2008011915,25.2
2008011916,24.5
2008011917,24.4
2008011918,23.8
2008011919,22.4
2008011920,23.6
2008011921,24.0
2008011922,23.8
2008011923,23.7
2008012000,23.7
2008012001,22.0
2008012002,24.3
2008012003,24.2
2008012004,22.3
2008012005,24.5
2008012006,23.5
2008012007,23.9
2008012008,22.9
2008012009,23.4
2008012010,23.5
2008012011,22.1
2008012012,23.0
2008012013,22.0
2008012014,23.9
2008012015,24.5
2008012016,22.5
2008012017,22.1
2008012018,21.3
2008012019,21.1
2008012020,20.3
2008012021,19.2
2008012022,20.2
2008012023,19.2
2008012100,19.2
2008012101,20.2
2008012102,19.2
2008012103,20.3
2008012104,21.1
2008012105,21.3
2008012106,22.1
2008012107,22.5
2008012108,24.5
2008012109,20.6
2008012110,22.4
2008012111,20.6
2008012112,21.0
2008012113,22.0
2008012114,22.0
2008012115,21.8
2008012116,21.0
2008012117,21.8
2008012118,21.6
2008012119,21.4
2008012120,20.8
2008012121,21.2
2008012122,21.7
2008012123,20.3
2008012200,21.4
2008012201,21.6
2008012202,21.0
2008012203,21.0
2008012204,20.8
2008012205,21.5
2008012206,20.3
2008012207,21.9
2008012208,21.4
2008012209,21.2
2008012210,21.8
2008012211,22.5
2008012212,22.0
2008012213,22.6
2008012214,20.8
2008012215,21.5
2008012216,21.2
2008012217,20.7
2008012218,21.1
2008012219,20.7
2008012220,20.0
2008012221,20.9
2008012222,20.1
2008012223,19.4
2008012300,20.3
2008012301,20.9
2008012302,20.6
2008012303,20.9
2008012304,21.0
2008012305,21.6
2008012306,20.8
2008012307,21.2
2008012308,22.2
2008012309,22.3
2008012310,19.5
2008012311,20.7
2008012312,23.1
2008012313,22.1
2008012314,20.8
2008012315,22.5
2008012316,20.9
2008012317,21.5
2008012318,22.1
2008012319,22.5
2008012320,21.2
2008012321,21.2
2008012322,22.9
2008012323,21.1
2008012400,21.1
2008012401,21.0
2008012402,21.4
2008012403,20.2
2008012404,21.2
2008012405,20.8
2008012406,21.1
2008012407,20.6
2008012408,21.9
2008012409,21.1
2008012410,22.8
2008012411,22.3
2008012412,20.5
2008012413,21.2
2008012414,21.1
2008012415,20.4
2008012416,21.2
2008012417,20.4
2008012418,18.8
2008012419,20.6
2008012420,19.7
2008012421,20.1
2008012422,18.6
2008012423,18.1
2008012500,19.1
2008012501,19.4
2008012502,19.3
2008012503,18.7
2008012504,19.6
2008012505,19.7
2008012506,21.2
2008012507,21.1
2008012508,19.6
2008012509,19.2
2008012510,19.7
2008012511,20.3
2008012512,21.5
2008012513,21.6
2008012514,21.0
2008012515,20.0
2008012516,20.4
2008012517,20.6
2008012518,19.5
2008012519,18.8
2008012520,18.9
2008012521,17.5
2008012522,18.0
2008012523,18.7
2008012600,18.8
2008012601,18.4
2008012602,19.1
2008012603,20.2
2008012604,18.1
2008012605,18.3
2008012606,17.6
2008012607,19.2
2008012608,18.6
2008012609,18.2
2008012610,19.2
2008012611,18.8
2008012612,19.6
2008012613,18.4
2008012614,18.1
2008012615,18.9
2008012616,19.2
2008012617,17.9
2008012618,17.5
2008012619,17.0
2008012620,17.0
2008012621,18.2
2008012622,18.4
2008012623,17.8
2008012700,18.4
2008012701,18.4
2008012702,21.1
2008012703,17.8
2008012704,21.4
2008012705,20.1
2008012706,20.1
2008012707,21.1
2008012708,21.4
2008012709,21.0
2008012710,22.4
2008012711,22.7
2008012712,23.1
2008012713,21.8
2008012714,22.3
2008012715,21.6
2008012716,22.7
2008012717,22.5
2008012718,20.9
2008012719,21.2
2008012720,20.6
2008012721,20.8
2008012722,19.6
2008012723,21.3
2008012800,22.3
2008012801,20.0
2008012802,20.9
2008012803,20.2
2008012804,20.2
2008012805,21.2
2008012806,19.8
2008012807,20.5
2008012808,20.6
2008012809,20.7
2008012810,20.9
2008012811,20.2
2008012812,20.7
2008012813,20.9
2008012814,19.9
2008012815,19.5
2008012816,21.0
2008012817,18.7
2008012818,18.5
2008012819,18.4
2008012820,18.3
2008012821,18.1
